type	latitude	longitude	altitude (m)	name
W	20.954706818	107.082710266	19.6	Px23y12
W	20.954706818	107.087860107	31.9	Px24y12
W	20.954706818	107.093009949	6.8	Px25y12
W	20.954706818	107.098159790	5.9	Px26y12
W	20.949897492	106.969413757	0.0	Px1y13
W	20.949897492	106.974563599	0.0	Px2y13
W	20.949897492	106.979713440	0.0	Px3y13
W	20.949897492	106.984863281	0.0	Px4y13
W	20.949897492	106.990013123	0.0	Px5y13
W	20.949897492	106.995162964	0.0	Px6y13
W	20.949897492	107.000312805	0.0	Px7y13
W	20.949897492	107.005462646	0.0	Px8y13
W	20.949897492	107.010612488	0.0	Px9y13
W	20.949897492	107.015762329	0.0	Px10y13
W	20.949897492	107.020912170	0.0	Px11y13
W	20.949897492	107.026062012	6.7	Px12y13
W	20.949897492	107.031211853	36.3	Px13y13
W	20.949897492	107.036361694	13.3	Px14y13
W	20.949897492	107.041511536	2.9	Px15y13
W	20.949897492	107.046661377	0.0	Px16y13
W	20.949897492	107.051811218	0.0	Px17y13
W	20.949897492	107.056961060	0.0	Px18y13
W	20.949897492	107.062110901	0.0	Px19y13
W	20.949897492	107.067260742	0.0	Px20y13
W	20.949897492	107.072410584	4.5	Px21y13
W	20.949897492	107.077560425	17.7	Px22y13
W	20.949897492	107.082710266	8.3	Px23y13
W	20.949897492	107.087860107	0.0	Px24y13
W	20.949897492	107.093009949	23.8	Px25y13
W	20.949897492	107.098159790	-1.2	Px26y13
W	20.945088012	106.969413757	0.0	Px1y14
W	20.945088012	106.974563599	0.0	Px2y14
W	20.945088012	106.979713440	0.0	Px3y14
W	20.945088012	106.984863281	0.0	Px4y14
W	20.945088012	106.990013123	0.0	Px5y14
W	20.945088012	106.995162964	0.0	Px6y14
W	20.945088012	107.000312805	0.0	Px7y14
W	20.945088012	107.005462646	0.0	Px8y14
W	20.945088012	107.010612488	0.0	Px9y14
W	20.945088012	107.015762329	0.0	Px10y14
W	20.945088012	107.020912170	0.0	Px11y14
W	20.945088012	107.026062012	1.6	Px12y14
W	20.945088012	107.031211853	0.2	Px13y14
W	20.945088012	107.036361694	0.0	Px14y14
W	20.945088012	107.041511536	0.0	Px15y14
W	20.945088012	107.046661377	0.0	Px16y14
W	20.945088012	107.051811218	0.0	Px17y14
W	20.945088012	107.056961060	0.0	Px18y14
W	20.945088012	107.062110901	0.0	Px19y14
W	20.945088012	107.067260742	0.0	Px20y14
W	20.945088012	107.072410584	0.0	Px21y14
W	20.945088012	107.077560425	14.8	Px22y14
W	20.945088012	107.082710266	0.1	Px23y14
W	20.945088012	107.087860107	0.0	Px24y14
W	20.945088012	107.093009949	0.5	Px25y14
W	20.945088012	107.098159790	0.0	Px26y14
W	20.940278377	106.969413757	0.0	Px1y15
W	20.940278377	106.974563599	0.0	Px2y15
W	20.940278377	106.979713440	0.0	Px3y15
W	20.940278377	106.984863281	0.0	Px4y15
W	20.940278377	106.990013123	0.0	Px5y15
W	20.940278377	106.995162964	0.0	Px6y15
W	20.940278377	107.000312805	0.0	Px7y15
W	20.940278377	107.005462646	0.0	Px8y15
W	20.940278377	107.010612488	0.0	Px9y15
W	20.940278377	107.015762329	0.0	Px10y15
W	20.940278377	107.020912170	0.0	Px11y15
W	20.940278377	107.026062012	2.5	Px12y15
W	20.940278377	107.031211853	0.0	Px13y15
W	20.940278377	107.036361694	0.0	Px14y15
W	20.940278377	107.041511536	0.0	Px15y15
W	20.940278377	107.046661377	0.0	Px16y15
W	20.940278377	107.051811218	0.0	Px17y15
W	20.940278377	107.056961060	0.0	Px18y15
W	20.940278377	107.062110901	0.0	Px19y15
W	20.940278377	107.067260742	0.0	Px20y15
W	20.940278377	107.072410584	0.0	Px21y15
W	20.940278377	107.077560425	0.0	Px22y15
W	20.940278377	107.082710266	0.0	Px23y15
W	20.940278377	107.087860107	0.0	Px24y15
W	20.940278377	107.093009949	0.0	Px25y15
W	20.940278377	107.098159790	0.0	Px26y15
W	20.935468587	106.969413757	0.0	Px1y16
W	20.935468587	106.974563599	0.9	Px2y16
W	20.935468587	106.979713440	13.0	Px3y16
W	20.935468587	106.984863281	5.0	Px4y16
W	20.935468587	106.990013123	5.9	Px5y16
W	20.935468587	106.995162964	1.2	Px6y16
W	20.935468587	107.000312805	0.0	Px7y16
W	20.935468587	107.005462646	0.0	Px8y16
W	20.935468587	107.010612488	0.0	Px9y16
W	20.935468587	107.015762329	0.0	Px10y16
W	20.935468587	107.020912170	0.0	Px11y16
W	20.935468587	107.026062012	0.0	Px12y16
W	20.935468587	107.031211853	0.0	Px13y16
W	20.935468587	107.036361694	0.0	Px14y16
W	20.935468587	107.041511536	0.0	Px15y16
W	20.935468587	107.046661377	0.0	Px16y16
W	20.935468587	107.051811218	0.0	Px17y16
W	20.935468587	107.056961060	0.0	Px18y16
